Date,Country,Holiday,holiday_cleaned_final
"2014, 1, 1",Denmark, Nytårsdag,new years day
"2014, 4, 17",Denmark, Skærtorsdag,maundy thursday
"2014, 4, 18",Denmark, Langfredag,good friday
"2014, 4, 20",Denmark, Påskedag,easter day
"2014, 4, 21",Denmark, Anden påskedag,easter day
"2014, 5, 16",Denmark, Store bededag,big bedday
"2014, 5, 29",Denmark, Kristi himmelfartsdag,ascension day
"2014, 6, 8",Denmark, Pinsedag,whit monday
"2014, 6, 9",Denmark, Anden pinsedag,whit monday
"2014, 12, 25",Denmark, Juledag,christmas
"2014, 12, 26",Denmark, Anden juledag,boxing day
"2011, 1, 1",Denmark, Nytårsdag,new years day
"2011, 4, 21",Denmark, Skærtorsdag,maundy thursday
"2011, 4, 22",Denmark, Langfredag,good friday
"2011, 4, 24",Denmark, Påskedag,easter day
"2011, 4, 25",Denmark, Anden påskedag,easter day
"2011, 5, 20",Denmark, Store bededag,big bedday
"2011, 6, 2",Denmark, Kristi himmelfartsdag,ascension day
"2011, 6, 12",Denmark, Pinsedag,whit monday
"2011, 6, 13",Denmark, Anden pinsedag,whit monday
"2011, 12, 25",Denmark, Juledag,christmas
"2011, 12, 26",Denmark, Anden juledag,boxing day
"2012, 1, 1",Denmark, Nytårsdag,new years day
"2012, 4, 5",Denmark, Skærtorsdag,maundy thursday
"2012, 4, 6",Denmark, Langfredag,good friday
"2012, 4, 8",Denmark, Påskedag,easter day
"2012, 4, 9",Denmark, Anden påskedag,easter day
"2012, 5, 4",Denmark, Store bededag,big bedday
"2012, 5, 17",Denmark, Kristi himmelfartsdag,ascension day
"2012, 5, 27",Denmark, Pinsedag,whit monday
"2012, 5, 28",Denmark, Anden pinsedag,whit monday
"2012, 12, 25",Denmark, Juledag,christmas
"2012, 12, 26",Denmark, Anden juledag,boxing day
"2013, 1, 1",Denmark, Nytårsdag,new years day
"2013, 3, 28",Denmark, Skærtorsdag,maundy thursday
"2013, 3, 29",Denmark, Langfredag,good friday
"2013, 3, 31",Denmark, Påskedag,easter day
"2013, 4, 1",Denmark, Anden påskedag,easter day
"2013, 4, 26",Denmark, Store bededag,big bedday
"2013, 5, 9",Denmark, Kristi himmelfartsdag,ascension day
"2013, 5, 19",Denmark, Pinsedag,whit monday
"2013, 5, 20",Denmark, Anden pinsedag,whit monday
"2013, 12, 25",Denmark, Juledag,christmas
"2013, 12, 26",Denmark, Anden juledag,boxing day
"2015, 1, 1",Denmark, Nytårsdag,new years day
"2015, 4, 2",Denmark, Skærtorsdag,maundy thursday
"2015, 4, 3",Denmark, Langfredag,good friday
"2015, 4, 5",Denmark, Påskedag,easter day
"2015, 4, 6",Denmark, Anden påskedag,easter day
"2015, 5, 1",Denmark, Store bededag,big bedday
"2015, 5, 14",Denmark, Kristi himmelfartsdag,ascension day
"2015, 5, 24",Denmark, Pinsedag,whit monday
"2015, 5, 25",Denmark, Anden pinsedag,whit monday
"2015, 12, 25",Denmark, Juledag,christmas
"2015, 12, 26",Denmark, Anden juledag,boxing day
"2016, 1, 1",Denmark, Nytårsdag,new years day
"2016, 3, 24",Denmark, Skærtorsdag,maundy thursday
"2016, 3, 25",Denmark, Langfredag,good friday
"2016, 3, 27",Denmark, Påskedag,easter day
"2016, 3, 28",Denmark, Anden påskedag,easter day
"2016, 4, 22",Denmark, Store bededag,big bedday
"2016, 5, 5",Denmark, Kristi himmelfartsdag,ascension day
"2016, 5, 15",Denmark, Pinsedag,whit monday
"2016, 5, 16",Denmark, Anden pinsedag,whit monday
"2016, 12, 25",Denmark, Juledag,christmas
"2016, 12, 26",Denmark, Anden juledag,boxing day
"2017, 1, 1",Denmark, Nytårsdag,new years day
"2017, 4, 13",Denmark, Skærtorsdag,maundy thursday
"2017, 4, 14",Denmark, Langfredag,good friday
"2017, 4, 16",Denmark, Påskedag,easter day
"2017, 4, 17",Denmark, Anden påskedag,easter day
"2017, 5, 12",Denmark, Store bededag,big bedday
"2017, 5, 25",Denmark, Kristi himmelfartsdag,ascension day
"2017, 6, 4",Denmark, Pinsedag,whit monday
"2017, 6, 5",Denmark, Anden pinsedag,whit monday
"2017, 12, 25",Denmark, Juledag,christmas
"2017, 12, 26",Denmark, Anden juledag,boxing day
"2018, 1, 1",Denmark, Nytårsdag,new years day
"2018, 3, 29",Denmark, Skærtorsdag,maundy thursday
"2018, 3, 30",Denmark, Langfredag,good friday
"2018, 4, 1",Denmark, Påskedag,easter day
"2018, 4, 2",Denmark, Anden påskedag,easter day
"2018, 4, 27",Denmark, Store bededag,big bedday
"2018, 5, 10",Denmark, Kristi himmelfartsdag,ascension day
"2018, 5, 20",Denmark, Pinsedag,whit monday
"2018, 5, 21",Denmark, Anden pinsedag,whit monday
"2018, 12, 25",Denmark, Juledag,christmas
"2018, 12, 26",Denmark, Anden juledag},boxing day
"2014, 1, 1",Belgium, Nieuwjaarsdag,new years day
"2014, 4, 20",Belgium, Pasen,pass
"2014, 4, 21",Belgium, Paasmaandag,easter day
"2014, 5, 29",Belgium, O.L.H. Hemelvaart,ascension day
"2014, 6, 8",Belgium, Pinksteren,pentecost
"2014, 6, 9",Belgium, Pinkstermaandag,whit monday
"2014, 5, 1",Belgium, Dag van de Arbeid,labour day
"2014, 7, 21",Belgium, Nationale feestdag,national holiday
"2014, 8, 15",Belgium, O.L.V. Hemelvaart,ascension day
"2014, 11, 1",Belgium, Allerheiligen,all saints day
"2014, 11, 11",Belgium, Wapenstilstand,truce
"2014, 12, 25",Belgium, Kerstmis,christmas
"2013, 1, 1",Belgium, Nieuwjaarsdag,new years day
"2013, 3, 31",Belgium, Pasen,pass
"2013, 4, 1",Belgium, Paasmaandag,easter day
"2013, 5, 9",Belgium, O.L.H. Hemelvaart,ascension day
"2013, 5, 19",Belgium, Pinksteren,pentecost
"2013, 5, 20",Belgium, Pinkstermaandag,whit monday
"2013, 5, 1",Belgium, Dag van de Arbeid,labour day
"2013, 7, 21",Belgium, Nationale feestdag,national holiday
"2013, 8, 15",Belgium, O.L.V. Hemelvaart,ascension day
"2013, 11, 1",Belgium, Allerheiligen,all saints day
"2013, 11, 11",Belgium, Wapenstilstand,truce
"2013, 12, 25",Belgium, Kerstmis,christmas
"2012, 1, 1",Belgium, Nieuwjaarsdag,new years day
"2012, 4, 8",Belgium, Pasen,pass
"2012, 4, 9",Belgium, Paasmaandag,easter day
"2012, 5, 17",Belgium, O.L.H. Hemelvaart,ascension day
"2012, 5, 27",Belgium, Pinksteren,pentecost
"2012, 5, 28",Belgium, Pinkstermaandag,whit monday
"2012, 5, 1",Belgium, Dag van de Arbeid,labour day
"2012, 7, 21",Belgium, Nationale feestdag,national holiday
"2012, 8, 15",Belgium, O.L.V. Hemelvaart,ascension day
"2012, 11, 1",Belgium, Allerheiligen,all saints day
"2012, 11, 11",Belgium, Wapenstilstand,truce
"2012, 12, 25",Belgium, Kerstmis,christmas
"2011, 1, 1",Belgium, Nieuwjaarsdag,new years day
"2011, 4, 24",Belgium, Pasen,pass
"2011, 4, 25",Belgium, Paasmaandag,easter day
"2011, 6, 2",Belgium, O.L.H. Hemelvaart,ascension day
"2011, 6, 12",Belgium, Pinksteren,pentecost
"2011, 6, 13",Belgium, Pinkstermaandag,whit monday
"2011, 5, 1",Belgium, Dag van de Arbeid,labour day
"2011, 7, 21",Belgium, Nationale feestdag,national holiday
"2011, 8, 15",Belgium, O.L.V. Hemelvaart,ascension day
"2011, 11, 1",Belgium, Allerheiligen,all saints day
"2011, 11, 11",Belgium, Wapenstilstand,truce
"2011, 12, 25",Belgium, Kerstmis,christmas
"2015, 1, 1",Belgium, Nieuwjaarsdag,new years day
"2015, 4, 5",Belgium, Pasen,pass
"2015, 4, 6",Belgium, Paasmaandag,easter day
"2015, 5, 14",Belgium, O.L.H. Hemelvaart,ascension day
"2015, 5, 24",Belgium, Pinksteren,pentecost
"2015, 5, 25",Belgium, Pinkstermaandag,whit monday
"2015, 5, 1",Belgium, Dag van de Arbeid,labour day
"2015, 7, 21",Belgium, Nationale feestdag,national holiday
"2015, 8, 15",Belgium, O.L.V. Hemelvaart,ascension day
"2015, 11, 1",Belgium, Allerheiligen,all saints day
"2015, 11, 11",Belgium, Wapenstilstand,truce
"2015, 12, 25",Belgium, Kerstmis,christmas
"2016, 1, 1",Belgium, Nieuwjaarsdag,new years day
"2016, 3, 27",Belgium, Pasen,pass
"2016, 3, 28",Belgium, Paasmaandag,easter day
"2016, 5, 5",Belgium, O.L.H. Hemelvaart,ascension day
"2016, 5, 15",Belgium, Pinksteren,pentecost
"2016, 5, 16",Belgium, Pinkstermaandag,whit monday
"2016, 5, 1",Belgium, Dag van de Arbeid,labour day
"2016, 7, 21",Belgium, Nationale feestdag,national holiday
"2016, 8, 15",Belgium, O.L.V. Hemelvaart,ascension day
"2016, 11, 1",Belgium, Allerheiligen,all saints day
"2016, 11, 11",Belgium, Wapenstilstand,truce
"2016, 12, 25",Belgium, Kerstmis,christmas
"2017, 1, 1",Belgium, Nieuwjaarsdag,new years day
"2017, 4, 16",Belgium, Pasen,pass
"2017, 4, 17",Belgium, Paasmaandag,easter day
"2017, 5, 25",Belgium, O.L.H. Hemelvaart,ascension day
"2017, 6, 4",Belgium, Pinksteren,pentecost
"2017, 6, 5",Belgium, Pinkstermaandag,whit monday
"2017, 5, 1",Belgium, Dag van de Arbeid,labour day
